sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001595031,B00GXDH,F500_CP_B00GXDH_5_2_C8NNJACXX.IND133.fastq.gz,EGAF00001767992
EGAN00001595032,B00GXDI,F500_CP_B00GXDI_5_1_C8NNJACXX.IND176.fastq.gz,EGAF00001767993
EGAN00001595032,B00GXDI,F500_CP_B00GXDI_5_2_C8NNJACXX.IND176.fastq.gz,EGAF00001767994
EGAN00001595033,B00GXDL,F500_CP_B00GXDL_5_1_C8NNJACXX.IND131.fastq.gz,EGAF00001767995
EGAN00001595033,B00GXDL,F500_CP_B00GXDL_5_2_C8NNJACXX.IND131.fastq.gz,EGAF00001767996
EGAN00001595034,B00GXDM,F500_CP_B00GXDM_6_1_C8NNJACXX.IND163.fastq.gz,EGAF00001767997
EGAN00001595034,B00GXDM,F500_CP_B00GXDM_6_2_C8NNJACXX.IND163.fastq.gz,EGAF00001767998
EGAN00001595035,B00GXJ0,F500_CP_B00GXJ0_6_1_C8NNJACXX.IND226.fastq.gz,EGAF00001768019
EGAN00001595035,B00GXJ0,F500_CP_B00GXJ0_6_2_C8NNJACXX.IND226.fastq.gz,EGAF00001768020
EGAN00001595036,B00GXJ1,F500_CP_B00GXJ1_6_1_C8NNJACXX.IND177.fastq.gz,EGAF00001768021
EGAN00001595036,B00GXJ1,F500_CP_B00GXJ1_6_2_C8NNJACXX.IND177.fastq.gz,EGAF00001768022
EGAN00001595037,B00GXJ3,F500_CP_B00GXJ3_7_1_C8NNJACXX.IND212.fastq.gz,EGAF00001768023
EGAN00001595037,B00GXJ3,F500_CP_B00GXJ3_7_2_C8NNJACXX.IND212.fastq.gz,EGAF00001768024
EGAN00001595038,B00GXJ4,F500_CP_B00GXJ4_7_1_C8NNJACXX.IND225.fastq.gz,EGAF00001768025
EGAN00001595038,B00GXJ4,F500_CP_B00GXJ4_7_2_C8NNJACXX.IND225.fastq.gz,EGAF00001768026
EGAN00001595039,B00GXL9,F500_CP_B00GXL9_3_1_C8MYJACXX.IND212.fastq.gz,EGAF00001768035
EGAN00001595039,B00GXL9,F500_CP_B00GXL9_3_2_C8MYJACXX.IND212.fastq.gz,EGAF00001768036
EGAN00001595040,B00GXLB,F500_CP_B00GXLB_3_1_C8MYJACXX.IND225.fastq.gz,EGAF00001768037
EGAN00001595040,B00GXLB,F500_CP_B00GXLB_3_2_C8MYJACXX.IND225.fastq.gz,EGAF00001768038
EGAN00001595041,B00GXLE,F500_CP_B00GXLE_3_1_C8MYJACXX.IND156.fastq.gz,EGAF00001768039
EGAN00001595041,B00GXLE,F500_CP_B00GXLE_3_2_C8MYJACXX.IND156.fastq.gz,EGAF00001768040
EGAN00001595042,B00GXLF,F500_CP_B00GXLF_2_1_C8NK5ACXX.IND178.fastq.gz,EGAF00001768041
EGAN00001595042,B00GXLF,F500_CP_B00GXLF_2_2_C8NK5ACXX.IND178.fastq.gz,EGAF00001768042
EGAN00001595043,B00GXLH,F500_CP_B00GXLH_2_1_C8NK5ACXX.IND224.fastq.gz,EGAF00001768043
EGAN00001595043,B00GXLH,F500_CP_B00GXLH_2_2_C8NK5ACXX.IND224.fastq.gz,EGAF00001768044
EGAN00001595044,B00GXLJ,F500_CP_B00GXLJ_5_1_C8MYJACXX.IND170.fastq.gz,EGAF00001768047
EGAN00001595044,B00GXLJ,F500_CP_B00GXLJ_5_2_C8MYJACXX.IND170.fastq.gz,EGAF00001768048
EGAN00001595045,B00GXLN,F500_CP_B00GXLN_5_1_C8MYJACXX.IND179.fastq.gz,EGAF00001768049
EGAN00001595045,B00GXLN,F500_CP_B00GXLN_5_2_C8MYJACXX.IND179.fastq.gz,EGAF00001768050
EGAN00001595046,B00GXLO,F500_CP_B00GXLO_5_1_C8MYJACXX.IND201.fastq.gz,EGAF00001768051
EGAN00001595046,B00GXLO,F500_CP_B00GXLO_5_2_C8MYJACXX.IND201.fastq.gz,EGAF00001768052
EGAN00001595047,B00GXLQ,F500_CP_B00GXLQ_6_1_C8MYJACXX.IND223.fastq.gz,EGAF00001768053
EGAN00001595047,B00GXLQ,F500_CP_B00GXLQ_6_2_C8MYJACXX.IND223.fastq.gz,EGAF00001768054
EGAN00001595048,B00GXLR,F500_CP_B00GXLR_6_1_C8MYJACXX.IND180.fastq.gz,EGAF00001768055
EGAN00001595048,B00GXLR,F500_CP_B00GXLR_6_2_C8MYJACXX.IND180.fastq.gz,EGAF00001768056
EGAN00001595049,B00GXLU,F500_CP_B00GXLU_7_1_C8MYJACXX.IND135.fastq.gz,EGAF00001768057
EGAN00001595049,B00GXLU,F500_CP_B00GXLU_7_2_C8MYJACXX.IND135.fastq.gz,EGAF00001768058
EGAN00001595050,B00GXLV,F500_CP_B00GXLV_7_1_C8MYJACXX.IND175.fastq.gz,EGAF00001768059
EGAN00001595050,B00GXLV,F500_CP_B00GXLV_7_2_C8MYJACXX.IND175.fastq.gz,EGAF00001768060
EGAN00001595051,B00GXLY,F500_CP_B00GXLY_7_1_C8MYJACXX.IND150.fastq.gz,EGAF00001768061
EGAN00001595051,B00GXLY,F500_CP_B00GXLY_7_2_C8MYJACXX.IND150.fastq.gz,EGAF00001768062
EGAN00001595052,B00GXLZ,F500_CP_B00GXLZ_8_1_C8MYJACXX.IND181.fastq.gz,EGAF00001768063
EGAN00001595052,B00GXLZ,F500_CP_B00GXLZ_8_2_C8MYJACXX.IND181.fastq.gz,EGAF00001768064
EGAN00001595053,B00GXM2,F500_CP_B00GXM2_8_1_C8MYJACXX.IND153.fastq.gz,EGAF00001768065
EGAN00001595053,B00GXM2,F500_CP_B00GXM2_8_2_C8MYJACXX.IND153.fastq.gz,EGAF00001768066
EGAN00001595054,B00GXM5,F500_CP_B00GXM5_8_1_C8MYJACXX.IND220.fastq.gz,EGAF00001768067
EGAN00001595054,B00GXM5,F500_CP_B00GXM5_8_2_C8MYJACXX.IND220.fastq.gz,EGAF00001768068
